category,nypd_pct_cd,boro_nm,call_count,median_arrival_delay
Potential Crime,62,BROOKLYN,13430,13.883333333333333
Potential Crime,63,BROOKLYN,11693,15.75
Potential Crime,66,BROOKLYN,12416,21.033333333333335
Potential Crime,67,BROOKLYN,25949,8.916666666666666
Potential Crime,68,BROOKLYN,10747,15.583333333333334
Potential Crime,69,BROOKLYN,12815,8.866666666666667
Potential Crime,70,BROOKLYN,16534,13.333333333333334
Potential Crime,71,BROOKLYN,13202,13.408333333333333
Potential Crime,72,BROOKLYN,13780,6.933333333333334
Potential Crime,73,BROOKLYN,25059,2.5166666666666666
Potential Crime,75,BROOKLYN,28784,12.658333333333333
Potential Crime,76,BROOKLYN,6693,3.716666666666667
Potential Crime,77,BROOKLYN,14994,6.791666666666666
Potential Crime,78,BROOKLYN,8904,3.15
Potential Crime,79,BROOKLYN,18111,3.55
Potential Crime,81,BROOKLYN,12920,4.958333333333334
Potential Crime,83,BROOKLYN,16164,6.883333333333334
Potential Crime,84,BROOKLYN,14683,4.25
Potential Crime,88,BROOKLYN,10567,5.066666666666666
Potential Crime,90,BROOKLYN,14278,8.333333333333334
Potential Crime,94,BROOKLYN,7460,9.0
Potential Crime,100,QUEENS,6517,8.033333333333333
Potential Crime,101,QUEENS,11952,14.191666666666666
Potential Crime,102,QUEENS,14937,32.11666666666667
Potential Crime,103,QUEENS,18271,13.116666666666667
Potential Crime,104,QUEENS,15547,18.45
Potential Crime,105,QUEENS,18008,23.991666666666667
Potential Crime,106,QUEENS,14838,20.116666666666667
Potential Crime,107,QUEENS,14003,19.75
Potential Crime,108,QUEENS,16165,25.366666666666667
Potential Crime,109,QUEENS,22143,23.266666666666666
Potential Crime,110,QUEENS,19870,16.7
Potential Crime,111,QUEENS,9346,10.075
Potential Crime,112,QUEENS,10426,11.35
Potential Crime,113,QUEENS,15127,31.016666666666666
Potential Crime,114,QUEENS,26498,14.483333333333333
Potential Crime,115,QUEENS,22109,9.533333333333333
Potential Crime,116,QUEENS,621,4.216666666666667
Potential Crime,120,STATEN ISLAND,17866,7.983333333333333
Potential Crime,121,STATEN ISLAND,11142,11.916666666666666
Potential Crime,122,STATEN ISLAND,10900,14.1
Potential Crime,123,STATEN ISLAND,5751,12.083333333333334
