interval,date,boro_nm,category,call_count
daily,2024-01-11,Staten Island,Confirmed Crime,58
daily,2024-01-11,Staten Island,Potential Crime,157
daily,2024-01-12,Bronx,Confirmed Crime,474
daily,2024-01-12,Bronx,Potential Crime,559
daily,2024-01-12,Brooklyn,Confirmed Crime,622
daily,2024-01-12,Brooklyn,Potential Crime,1045
daily,2024-01-12,Manhattan,Confirmed Crime,590
daily,2024-01-12,Manhattan,Potential Crime,755
daily,2024-01-12,Queens,Confirmed Crime,505
daily,2024-01-12,Queens,Potential Crime,757
daily,2024-01-12,Staten Island,Confirmed Crime,62
daily,2024-01-12,Staten Island,Potential Crime,148
daily,2024-01-13,Bronx,Confirmed Crime,490
daily,2024-01-13,Bronx,Potential Crime,650
daily,2024-01-13,Brooklyn,Confirmed Crime,598
daily,2024-01-13,Brooklyn,Potential Crime,1059
daily,2024-01-13,Manhattan,Confirmed Crime,518
daily,2024-01-13,Manhattan,Potential Crime,765
daily,2024-01-13,Queens,Confirmed Crime,432
daily,2024-01-13,Queens,Potential Crime,925
daily,2024-01-13,Staten Island,Confirmed Crime,68
daily,2024-01-13,Staten Island,Potential Crime,159
daily,2024-01-14,Bronx,Confirmed Crime,456
daily,2024-01-14,Bronx,Potential Crime,646
daily,2024-01-14,Brooklyn,Confirmed Crime,519
daily,2024-01-14,Brooklyn,Potential Crime,1072
daily,2024-01-14,Manhattan,Confirmed Crime,508
daily,2024-01-14,Manhattan,Potential Crime,684
daily,2024-01-14,Queens,Confirmed Crime,417
daily,2024-01-14,Queens,Potential Crime,774
daily,2024-01-14,Staten Island,Confirmed Crime,61
daily,2024-01-14,Staten Island,Potential Crime,175
daily,2024-01-15,Bronx,Confirmed Crime,395
daily,2024-01-15,Bronx,Potential Crime,606
daily,2024-01-15,Brooklyn,Confirmed Crime,490
daily,2024-01-15,Brooklyn,Potential Crime,823
daily,2024-01-15,Manhattan,Confirmed Crime,485
daily,2024-01-15,Manhattan,Potential Crime,716
daily,2024-01-15,Queens,Confirmed Crime,415
daily,2024-01-15,Queens,Potential Crime,653
daily,2024-01-15,Staten Island,Confirmed Crime,59
daily,2024-01-15,Staten Island,Potential Crime,102
daily,2024-01-16,Bronx,Confirmed Crime,408
daily,2024-01-16,Bronx,Potential Crime,510
daily,2024-01-16,Brooklyn,Confirmed Crime,509
daily,2024-01-16,Brooklyn,Potential Crime,742
daily,2024-01-16,Manhattan,Confirmed Crime,494
daily,2024-01-16,Manhattan,Potential Crime,659
daily,2024-01-16,Queens,Confirmed Crime,369
daily,2024-01-16,Queens,Potential Crime,554
daily,2024-01-16,Staten Island,Confirmed Crime,36
daily,2024-01-16,Staten Island,Potential Crime,105
daily,2024-01-17,Bronx,Confirmed Crime,430
daily,2024-01-17,Bronx,Potential Crime,636
daily,2024-01-17,Brooklyn,Confirmed Crime,556
daily,2024-01-17,Brooklyn,Potential Crime,866
daily,2024-01-17,Manhattan,Confirmed Crime,486
daily,2024-01-17,Manhattan,Potential Crime,657
daily,2024-01-17,Queens,Confirmed Crime,424
daily,2024-01-17,Queens,Potential Crime,625
