typ_desc,incident_date,count
ALARMS: AUDIBLE/INSIDE,2024-04-14T00:00:00.000,3
ALARMS: AUDIBLE/INSIDE,2024-04-15T00:00:00.000,1
ALARMS: AUDIBLE/INSIDE,2024-04-16T00:00:00.000,2
ALARMS: AUDIBLE/INSIDE,2024-04-17T00:00:00.000,1
ALARMS: AUDIBLE/INSIDE,2024-04-18T00:00:00.000,3
ALARMS: AUDIBLE/INSIDE,2024-04-20T00:00:00.000,4
ALARMS: AUDIBLE/INSIDE,2024-04-21T00:00:00.000,1
ALARMS: AUDIBLE/INSIDE,2024-04-22T00:00:00.000,2
ALARMS: AUDIBLE/INSIDE,2024-04-23T00:00:00.000,3
ALARMS: AUDIBLE/INSIDE,2024-04-24T00:00:00.000,1
ALARMS: AUDIBLE/INSIDE,2024-04-25T00:00:00.000,2
ALARMS: AUDIBLE/INSIDE,2024-04-27T00:00:00.000,1
ALARMS: AUDIBLE/INSIDE,2024-04-28T00:00:00.000,1
ALARMS: AUDIBLE/INSIDE,2024-04-30T00:00:00.000,1
ALARMS: AUDIBLE/INSIDE,2024-05-01T00:00:00.000,2
ALARMS: AUDIBLE/INSIDE,2024-05-03T00:00:00.000,2
ALARMS: AUDIBLE/INSIDE,2024-05-04T00:00:00.000,2
ALARMS: AUDIBLE/INSIDE,2024-05-05T00:00:00.000,1
ALARMS: AUDIBLE/INSIDE,2024-05-07T00:00:00.000,1
ALARMS: AUDIBLE/INSIDE,2024-05-08T00:00:00.000,3
ALARMS: AUDIBLE/INSIDE,2024-05-09T00:00:00.000,1
ALARMS: AUDIBLE/INSIDE,2024-05-10T00:00:00.000,4
ALARMS: AUDIBLE/INSIDE,2024-05-11T00:00:00.000,2
ALARMS: AUDIBLE/INSIDE,2024-05-12T00:00:00.000,1
ALARMS: AUDIBLE/INSIDE,2024-05-13T00:00:00.000,2
ALARMS: AUDIBLE/INSIDE,2024-05-14T00:00:00.000,1
ALARMS: AUDIBLE/INSIDE,2024-05-15T00:00:00.000,3
ALARMS: AUDIBLE/INSIDE,2024-05-16T00:00:00.000,1
ALARMS: AUDIBLE/INSIDE,2024-05-18T00:00:00.000,2
ALARMS: AUDIBLE/INSIDE,2024-05-19T00:00:00.000,2
ALARMS: AUDIBLE/INSIDE,2024-05-20T00:00:00.000,1
ALARMS: AUDIBLE/INSIDE,2024-05-21T00:00:00.000,3
ALARMS: AUDIBLE/INSIDE,2024-05-22T00:00:00.000,1
ALARMS: AUDIBLE/INSIDE,2024-05-23T00:00:00.000,2
ALARMS: AUDIBLE/INSIDE,2024-05-25T00:00:00.000,3
